titolo,ente,regione,fonte_url,scadenza,settore,tipologia,importo_min,importo_max,importo_flag,estrazione,Importo_massimo,Stanziamento_incentivo,Spesa_Ammessa_min,Agevolazione_Concedibile_min,Spesa_Ammessa_max,Agevolazione_Concedibile_max,Importo_minimo
Grandi progetti R&S,Ministero dello sviluppo economico,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/incentivi/impresa/bando-grandi-progetti-r-s-fri#termini,2020-03-08,vario,altro,450000000,450000000,auto,2025-07-05T11:34:49,,450000000,,,,,
Credito d'imposta formazione 4.0,Ministero dello sviluppo economico/Agenzia delle entrate,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/incentivi/impresa/credito-d-imposta-formazione,,vario,credito_imposta,,,none,2025-07-05T11:34:49,,,,,,,
Credito di imposta per gli investimenti nel Mezzogiorno - Programma operativo nazionale âImprese e competitivitÃ â,Ministero dello sviluppo economico,"Basilicata,Calabria,Campania,Puglia,Sicilia,Molise,Sardegna,Abruzzo",https://www.mise.gov.it/index.php/it/incentivi/impresa/credito-di-imposta-per-il-mezzogiorno-pon,2022-12-30,vario,altro,,,none,2025-07-05T11:34:49,,"163000000 (con dm 29/7)\, 161800000 (con dm 09/08)",,,,,
Credito dâimposta per investimenti in beni strumentali,Ministero dello sviluppo economico/Agenzia delle entrate,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Trentino-Alto Adige/SÃ¼dtirol,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/incentivi/credito-dimposta-per-investimenti-in-beni-strumentali,,vario,altro,,,none,2025-07-05T11:34:49,,,,,,,
Fondo Impresa Donna,Ministero delle Imprese e del Made in Italy - Direzione generale per gli incentivi alle imprese,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mimit.gov.it/it/incentivi/fondo-a-sostegno-dell-impresa-femminile,2022-06-08,vario,altro,200000000,200000000,auto,2025-07-05T11:34:49,,200000000,,,,,
Avvio e consolidamento di imprese culturali e creative,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/incentivi/fondo-per-le-piccole-e-medie-imprese-creative,2022-09-22,vario,altro,40000000,40000000,auto,2025-07-05T11:34:49,,40000000,,,,,
Programmi di investimento finalizzati a potenziare lâofferta turistica nel Cratere Sismico Aquilano,Invitalia - Agenzia nazionale per l'attrazione degli investimenti e lo sviluppo d'impresa S.p.A.,Abruzzo,https://www.mimit.gov.it/it/normativa/decreti-ministeriali/decreto-ministeriale-26-febbraio-2021-cratere-sismico-aquilano-agevolazioni-a-favore-delle-imprese-danneggiate-dal-covid-19,,vario,altro,6500000,6500000,auto,2025-07-05T11:34:49,,6500000,,,,,
"Credito dâimposta R&S\, innovazione tecnologica\, design e ideazione estetica",Ministero dello sviluppo economico/Agenzia delle entrate,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Trentino-Alto Adige/SÃ¼dtirol,Toscana,Valle d'Aosta/VallÃ©e d'Aoste,Veneto,Umbria,Sicilia,Sardegna",https://www.mise.gov.it/index.php/it/incentivi/credito-d-imposta-r-s,,digitale,altro,,,none,2025-07-05T11:34:49,,,,,,,
EuroHPC JU iniziativa tecnologica congiunta nel settore del calcolo ad alte prestazioni,Ministero dello sviluppo economico,"Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Molise,Liguria,Lombardia,Marche,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/incentivi/impresa/eurohpc-ju-calcolo-alte-prestazioni,2021-09-07,vario,altro,17700000,17700000,auto,2025-07-05T11:34:49,,17700000,,,,,
Fondo per il trasferimento tecnologico,"Ministero dello sviluppo economico\, Ministero dellâeconomia e delle finanze","Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli-Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Sardegna,Sicilia,Toscana,Trentino-Alto Adige/SÃ¼dtirol,Umbria,Valle d'Aosta/VallÃ©e d'Aoste,Veneto",https://www.mise.gov.it/index.php/it/incentivi/impresa/fondo-trasferimento-tecnologico,,vario,altro,500000000,500000000,auto,2025-07-05T11:34:49,,500000000,,,,,
